id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Number of schools nearby,Distance from the airport,Price
6762830663,42533,3,1,1340,11070,1,0,0,4,7,1340,0,1978,1,56,206135
6762830684,42533,3,1,1290,6566,1,0,0,5,7,1290,0,1976,3,63,205000
6762831240,42533,4,2,1520,19672,1,0,0,3,6,1020,500,1920,2,75,171000
6762831404,42533,3,1,1270,6405,1.5,0,0,3,6,1270,0,1944,1,74,153000
6762831525,42533,2,1,1150,30184,1,0,0,3,6,1150,0,1950,3,57,129000
6762812202,42534,4,2.5,2960,41656,2,0,0,3,10,2960,0,1985,3,54,883000
6762812457,42534,5,2.75,2920,11880,1,0,0,5,8,1660,1260,1968,3,59,850000
6762813849,42534,4,2.75,2450,4187,2,0,2,3,8,2450,0,2010,2,75,735000
6762818252,42534,3,2.5,1930,7214,2,0,0,3,8,1930,0,2005,2,69,530000
6762818422,42534,4,2.75,2360,4924,2,0,0,3,8,2360,0,2008,3,57,525000
6762819325,42534,2,1,1980,5000,1,0,0,4,7,1090,890,1923,2,69,496752
6762823043,42534,3,2,1510,6710,1,0,0,3,7,1070,440,1972,2,50,397500
6762825760,42534,3,1.75,1430,8865,1,0,0,3,7,1430,0,1950,3,54,330000
6762811142,42535,4,3.25,2500,5801,1.5,0,0,3,8,1960,540,1926,2,61,1140000
6762815202,42535,4,2.5,2700,9122,2,0,0,3,9,2700,0,1990,2,69,652500
6762815235,42535,3,1.75,2140,9484,1,0,0,3,7,1290,850,1953,3,76,650000
6762818589,42535,3,2,1900,8100,1,0,0,4,7,950,950,1940,1,60,520500
6762818969,42535,5,3,2430,8000,1,0,0,4,7,1370,1060,1957,3,63,506000
6762822249,42535,3,1,1110,12150,1,0,0,4,7,1110,0,1957,3,66,416000
6762828466,42535,3,2.5,1890,4838,2,0,0,3,8,1730,160,2002,1,72,269950
6762810256,42536,4,2.5,3070,34412,1,0,3,4,9,2070,1000,1950,1,65,1920000
6762810348,42536,4,2.25,3040,5000,2,0,3,4,9,2080,960,1926,3,67,1740000
6762810361,42536,3,3.25,2940,5432,3,0,3,4,10,2440,500,1978,1,77,1710000
6762811211,42536,4,4,3530,8400,2,0,0,5,8,2630,900,1958,2,56,1100000
6762811514,42536,4,2.75,2800,19168,2,0,0,3,10,2800,0,1992,3,64,999000
6762811694,42536,4,3.5,3280,6603,2,0,0,3,10,3280,0,2007,1,60,963000
6762811936,42536,4,1.5,2220,9496,1,0,0,4,7,1490,730,1954,3,63,921000
6762812049,42536,4,2.5,3030,8507,2,0,0,3,9,3030,0,2003,3,52,902000
6762812093,42536,4,3.5,3290,5414,2,0,1,3,9,2360,930,2006,1,55,899950
6762812365,42536,4,2.5,3190,14565,2,0,0,3,11,3190,0,1990,1,69,862000
6762812437,42536,4,3.25,3450,6184,2,0,0,3,9,3450,0,2014,3,59,852880
6762812458,42536,4,3.5,4140,7089,2,0,0,3,10,3160,980,2003,1,56,850000
6762812712,42536,4,1.5,1890,6938,1.5,0,0,3,8,1890,0,1919,3,50,825000
6762812713,42536,4,2.5,2810,9800,1,0,0,4,8,1710,1100,1973,3,79,825000
6762813051,42536,3,2.75,2670,3738,1,0,0,3,10,1720,950,2013,3,60,798800
6762813093,42536,4,2.5,4290,175421,2,0,0,3,10,4290,0,2004,3,61,792500
6762813453,42536,3,1.75,1990,5560,1,0,0,4,7,1100,890,1939,3,50,763101
6762813528,42536,3,2.5,3100,23790,2,0,0,3,9,3100,0,2002,2,61,759950
6762813687,42536,4,3.25,3430,9870,2,0,0,3,9,3430,0,2014,3,53,749995
6762814442,42536,4,3.5,2690,6164,2,0,0,3,9,2690,0,2002,2,62,699850
6762814545,42536,2,1.75,1600,4000,1,0,0,5,7,850,750,1918,3,71,690000
6762814632,42536,4,3.5,2840,4637,3,0,0,3,8,2840,0,2008,1,67,685000
6762814697,42536,4,2.75,2500,4950,2,0,0,3,8,2500,0,2010,1,57,680000
6762814951,42536,3,1.5,1720,8100,2,0,0,3,8,1720,0,1907,1,73,667000
6762815055,42536,6,1.75,1840,2774,1,0,0,3,7,1060,780,1900,2,64,660000
6762815236,42536,4,2.75,2610,4160,3,0,0,5,8,1910,700,1910,2,71,650000
6762815534,42536,3,2.5,2110,3600,2,0,0,3,9,2110,0,2005,3,51,638000
6762815633,42536,5,2.5,2640,7096,2,0,0,3,7,2640,0,2003,1,60,632500
6762816907,42536,4,2.5,2440,28405,2,0,0,3,8,2440,0,2002,3,66,576000
6762816928,42536,4,2.5,2120,9603,2,0,0,3,8,2120,0,1985,3,64,575000
6762817176,42536,4,2.25,2170,7737,2,0,0,3,8,2170,0,1987,1,50,566000
6762817190,42536,4,2.75,3130,139392,2,0,0,4,9,3130,0,1981,3,59,565000
6762817507,42536,3,3.5,3380,108900,2,0,0,3,9,2700,680,1999,3,74,554000
6762817546,42536,3,1,1120,2300,1,0,0,4,7,820,300,1912,1,69,552000
6762817827,42536,3,2.5,1940,9775,1,0,2,3,8,1440,500,1975,2,54,545000
6762817906,42536,4,2.5,2650,5600,2,0,0,3,8,2650,0,2014,2,69,542525
6762818190,42536,3,2.5,1700,3150,2,0,0,3,8,1700,0,2005,2,63,534500
6762818253,42536,4,2.5,2050,6360,2,0,0,3,8,2050,0,1988,1,67,530000
6762818545,42536,2,1,1120,2000,1.5,0,0,3,7,1120,0,1910,3,79,524000
6762818553,42536,3,2.25,1420,1282,3,0,0,3,8,1420,0,2006,1,60,523950
6762818669,42536,4,2.5,1740,7500,1,0,0,4,7,1220,520,1976,2,72,518000
6762819084,42536,4,2.75,2280,54014,1,0,0,5,7,2280,0,1960,2,65,500000
6762819085,42536,3,1.75,1540,10800,1,0,0,5,6,770,770,1947,3,62,500000
6762819268,42536,3,1.75,1750,12325,1,0,0,4,7,1470,280,1968,1,55,499000
6762819432,42536,5,2.5,2570,9962,2,0,0,3,8,2570,0,2006,2,71,492500
6762820118,42536,3,1.5,1510,8000,1,0,0,4,7,1510,0,1956,2,53,470000
6762820119,42536,3,1.5,1760,6723,1,0,0,3,7,1160,600,1958,1,59,470000
6762820208,42536,3,2.5,1350,13457,2,0,0,3,8,1120,230,2007,2,74,468500
6762820277,42536,3,2.25,2670,7500,1,0,0,4,7,1640,1030,1966,1,68,465000
6762820440,42536,3,1.75,1550,4708,1,0,0,4,7,860,690,1949,1,51,460000
6762820441,42536,2,1.5,1090,4000,1,0,0,3,8,970,120,1951,1,59,460000
6762820442,42536,2,1,890,2100,1,0,0,4,6,760,130,1919,1,65,460000
6762820615,42536,2,1.5,1310,12196,1.5,0,0,3,6,1310,0,1970,2,78,455000
6762820781,42536,6,2.25,3550,11780,1,0,0,4,8,2960,590,1948,1,70,450000
6762821063,42536,3,1.75,1890,32340,1.5,0,3,3,8,1890,0,1976,3,73,445000
6762821457,42536,3,2.5,2300,9521,2,0,0,3,8,2300,0,2003,2,55,435000
6762821458,42536,3,2,1980,2674,3,0,0,3,8,1980,0,2007,3,52,435000
6762821747,42536,5,2.5,2340,4500,2,0,0,3,7,2340,0,2009,1,66,429000
6762821802,42536,3,2.5,1830,65340,1,0,0,3,8,1520,310,1991,1,77,427000
6762822205,42536,4,3,2360,6250,1,0,2,3,7,1460,900,1960,3,77,418000
6762822206,42536,4,1.5,1220,10580,1,0,0,3,7,1220,0,1965,3,76,418000
6762822280,42536,4,2,1800,2970,1,0,0,4,7,1000,800,1923,3,72,415000
6762822460,42536,4,2,1580,9581,1,0,0,3,7,1580,0,1953,2,77,410000
6762822812,42536,4,1.75,1580,5340,1,0,0,3,7,1130,450,1947,1,73,400000
6762823469,42536,4,1.75,1690,4080,1,0,0,4,7,870,820,1984,2,74,385000
6762823470,42536,3,2,1590,9912,2,0,0,3,8,1590,0,2000,3,62,385000
6762823471,42536,4,2.5,2960,5054,2,0,0,3,9,2960,0,2006,1,57,385000
6762823472,42536,2,1,830,26329,1,1,3,4,6,830,0,1928,2,80,385000
6762823777,42536,5,2.5,2760,8015,1,0,0,4,8,1600,1160,1960,3,52,378000
6762823836,42536,4,2,1240,3000,1,0,0,3,7,1040,200,1908,1,72,375000
6762823837,42536,4,2,2400,6000,2,0,0,3,6,2400,0,1913,3,60,375000
6762823838,42536,4,2.5,2040,109336,1.5,0,0,4,8,2040,0,1973,1,55,375000
6762823995,42536,3,1,1770,5720,1.5,0,0,4,7,1140,630,1926,1,71,373000
6762824032,42536,3,2,1530,8925,1,0,0,3,7,1530,0,1977,1,54,371025
6762824593,42536,2,1.75,1210,1040,2,0,0,3,8,1210,0,2014,1,72,357186
6762824748,42536,4,2.25,1760,9602,2,0,0,3,7,1760,0,1987,1,50,353500
6762825317,42536,3,2.5,1212,1174,3,0,0,3,7,1212,0,2004,2,73,340000
6762825563,42536,3,1.5,2040,6000,1,0,0,3,7,1340,700,1957,2,75,335000
6762825719,42536,1,1,960,2640,1,0,0,3,7,760,200,1908,3,72,332000
6762826252,42536,3,2.25,1200,1400,3,0,0,3,8,1200,0,2005,3,65,320000
6762826792,42536,3,1.75,1150,9600,1,0,0,3,7,1150,0,1979,1,52,309212
6762826989,42536,4,2,1810,8750,1,0,0,2,7,1110,700,1967,2,58,304000
6762827076,42536,5,3,1940,6355,1,0,0,3,8,1200,740,2007,2,74,300000
6762827357,42536,3,1.75,1770,8235,1,0,0,3,7,1030,740,1960,3,73,295000
6762827747,42536,4,1.75,1960,7950,1,0,0,4,8,1960,0,1967,1,54,285500
6762827838,42536,3,2.5,1880,6008,2,0,0,3,7,1880,0,2009,1,64,284000
6762828123,42536,3,1,1100,9253,1,0,0,4,7,1100,0,1957,3,75,277000
6762828613,42536,3,1,1000,9150,1,0,0,3,7,1000,0,1969,2,58,265000
6762829462,42536,2,1,1200,4880,1,0,0,3,6,980,220,1943,1,64,245000
6762829800,42536,2,1.5,880,1805,2,0,0,3,7,880,0,1999,2,62,235000
6762829952,42536,3,1.75,1400,6956,1,0,0,4,7,1400,0,1957,3,66,230000
6762830268,42536,4,2.5,2240,9826,1,0,0,4,7,1370,870,1988,3,53,220000
6762830269,42536,3,2,1410,7998,1,0,0,4,7,1410,0,1940,1,50,220000
6762831097,42536,3,1.75,1070,8100,1,0,0,4,6,1070,0,1957,1,53,183000
6762831189,42536,3,1.5,1220,7300,1,0,0,3,7,1220,0,1973,2,60,175000
6762831426,42536,3,1.5,1230,8056,1,0,0,4,6,1230,0,1949,3,79,150000
6762831599,42536,2,1,760,5500,1.5,0,0,3,5,760,0,1947,1,58,92000
6762810027,42537,5,6.75,9640,13068,1,1,4,3,12,4820,4820,1983,1,69,4670000
6762810123,42537,3,3.25,4340,4947,2,0,3,3,11,3060,1280,1993,1,70,2480000
6762810216,42537,4,3.75,4100,9050,1.5,0,3,5,11,2540,1560,1934,1,76,2030000
6762810353,42537,4,3,3700,20570,1,0,0,4,10,1850,1850,1976,3,70,1730000
6762810497,42537,3,3.5,4360,6240,2,0,3,3,10,2960,1400,2008,1,50,1560000
6762810513,42537,3,2.25,2880,7599,1,0,2,3,9,1710,1170,1958,1,65,1540000
6762810749,42537,4,4,4420,16526,2,0,0,3,11,4420,0,2013,1,59,1330000
6762811001,42537,4,3.5,4170,9748,2,0,0,3,11,4170,0,2004,1,51,1200000
6762811040,42537,3,2.75,2500,5568,2,0,0,5,9,2500,0,1905,1,52,1190000
6762811075,42537,4,2.5,2570,6251,2,0,0,3,9,2570,0,2000,3,66,1170000
6762811455,42537,3,3.25,2420,1923,2,0,2,3,10,1840,580,2006,3,75,1010000
6762811456,42537,4,3.5,2650,3060,2,0,0,3,9,2060,590,2001,2,79,1010000
6762811750,42537,3,2.75,2750,18029,1,0,2,5,9,1810,940,1978,2,51,950000
6762811839,42537,3,1.75,2960,12420,1,0,2,4,8,1480,1480,1952,1,69,936000
6762812059,42537,5,3.75,3870,8225,2,0,0,3,10,3870,0,1998,3,65,900000
6762812297,42537,4,4.25,3010,4887,2,0,3,4,10,1940,1070,1951,1,66,870000
6762812328,42537,5,3.5,3130,4797,2,0,0,3,9,2570,560,2014,3,71,866059
6762812433,42537,4,2.75,3150,38865,1,0,0,3,10,2480,670,1986,1,74,854000
6762812570,42537,4,3.5,3860,18334,2,0,0,3,10,3120,740,1996,2,66,840000
6762812608,42537,5,2.75,3010,12611,2,0,0,3,10,3010,0,1994,2,61,837700
6762812756,42537,7,4.25,3670,4000,2,0,1,3,8,2800,870,1964,1,72,824000
6762812863,42537,3,2.5,2670,10481,2,0,0,3,9,2670,0,2003,3,65,810000
6762812901,42537,3,2.5,2590,7720,2,0,0,3,9,2590,0,1988,1,77,809000
6762813417,42537,3,2,1570,7000,2,0,2,4,8,1050,520,1971,2,66,765000
6762813583,42537,4,2.5,2940,10382,2,0,0,4,9,2940,0,1991,1,77,752000
6762813827,42537,3,2.5,2300,6009,1,0,0,3,8,2300,0,2005,2,59,738500
6762813948,42537,3,1,1580,3840,2,0,0,3,8,1580,0,1908,1,63,729000
6762813984,42537,4,2.75,2630,7505,2,0,0,3,8,2630,0,1994,1,67,725000
6762814074,42537,4,2.5,2650,11520,2,0,0,3,8,2110,540,1988,3,69,720000
6762814801,42537,6,1.75,2740,6360,1,0,3,3,8,1370,1370,1953,2,62,675000
6762814935,42537,4,2.75,2700,35362,2,0,0,5,8,2700,0,1976,2,58,669000
6762814946,42537,3,2,1880,3800,1,0,0,5,7,1030,850,1927,2,66,667500
6762815470,42537,3,2,1380,4800,1,0,0,3,7,1380,0,1948,2,69,640000
6762815978,42537,4,2.5,2490,12929,2,0,0,3,9,2490,0,1983,1,80,616000
6762816179,42537,3,2.5,2830,6536,2,0,0,3,9,2830,0,1989,3,79,605500
6762816187,42537,3,2.25,2010,10760,2,0,0,3,8,2010,0,1985,1,62,605000
6762816788,42537,5,2,2700,10875,1,0,0,4,7,1540,1160,1962,2,77,580000
6762817325,42537,5,1,1710,9100,1.5,0,0,4,7,1320,390,1926,2,80,560000
6762817326,42537,3,2,2340,3477,1,0,1,5,7,1170,1170,1971,2,66,560000
6762817508,42537,4,1,1120,7104,1.5,0,0,3,7,1120,0,1946,2,58,554000
6762817587,42537,3,1.75,2240,78225,2,0,0,5,8,2240,0,1976,1,69,550000
6762817758,42537,2,2.5,1380,953,3,0,0,3,9,1380,0,2006,2,57,549000
6762817793,42537,4,1,1720,2800,1.5,0,0,4,7,1200,520,1926,1,58,547000
6762817828,42537,4,2.25,2030,11585,1,0,0,4,7,1590,440,1967,3,52,545000
6762818091,42537,4,2.25,1990,5948,2,0,0,3,8,1990,0,1991,2,58,536000
6762818120,42537,4,2.75,3070,7201,2,0,0,3,9,3070,0,2006,3,75,535000
6762818655,42537,4,2.5,3250,4500,2,0,0,3,8,3250,0,2009,2,63,519000
6762818970,42537,3,1.75,2180,7700,1,0,0,3,8,1480,700,1961,3,56,506000
6762819258,42537,3,2.5,2970,21907,2,0,0,3,9,2970,0,1998,2,76,499500
6762819425,42537,4,1.75,2030,18295,1.5,0,0,4,7,2030,0,1975,2,58,493000
6762819852,42537,3,2.75,2300,4637,2,0,0,3,8,2300,0,2008,1,74,479500
6762819858,42537,2,2.25,1230,932,2,0,0,3,8,1020,210,2004,3,78,479000
6762819941,42537,3,2.25,2280,5750,1,0,1,4,7,1150,1130,1985,3,59,475000
6762820061,42537,2,1,900,5100,1,0,0,4,7,900,0,1909,2,56,473000
6762820081,42537,3,2.5,1180,1262,3,0,0,3,8,1180,0,2010,3,51,472000
6762820257,42537,4,2.5,2340,6896,2,0,0,3,7,2340,0,2001,3,57,465950
6762820278,42537,2,2.75,1430,1425,2,0,0,3,7,995,435,2006,3,64,465000
6762820279,42537,2,2,1494,19271,2,1,4,3,7,1494,0,1943,3,70,465000
6762820557,42537,4,1.5,1550,3000,1.5,0,0,3,7,1350,200,1918,2,54,458000
6762820752,42537,4,2.5,1670,3315,2,0,0,3,7,1670,0,2005,1,58,451000
6762820944,42537,4,2.5,2470,3811,2,0,0,3,8,2470,0,1999,1,52,449950
6762821222,42537,4,2,1450,8400,1.5,0,0,4,7,1450,0,1962,1,72,440000
6762821459,42537,2,1,1230,3800,1,0,0,3,7,1230,0,1928,3,61,435000
6762821460,42537,3,2.25,1230,1238,2,0,0,3,8,1080,150,2009,1,76,435000
6762821646,42537,3,2,1730,9000,1,0,0,3,8,1370,360,1978,2,60,430000
6762821647,42537,3,1,980,7200,1,0,0,4,7,980,0,1950,2,71,430000
6762822044,42537,3,2.5,2890,21780,2,0,0,3,8,2890,0,2000,1,53,421000
6762822281,42537,4,2,1610,9600,1,0,0,5,7,1610,0,1967,2,60,415000
6762822634,42537,3,1.5,1880,7400,1,0,0,3,8,1480,400,1968,1,55,405000
6762822752,42537,3,1.5,1450,7375,1,0,0,3,7,1010,440,1968,3,64,402000
6762822813,42537,3,2.25,2140,11266,2,0,0,3,7,2140,0,1986,3,65,400000
6762823444,42537,2,2.5,1620,3196,2,0,0,3,8,1620,0,2008,2,55,386000
6762823583,42537,4,2.5,2210,7079,2,0,0,3,8,2210,0,1993,2,62,382500
6762823634,42537,4,2.5,2150,37647,2,0,0,3,8,2150,0,1991,2,56,380000
6762823728,42537,5,3.5,2800,7350,2,0,0,3,7,2800,0,1995,2,79,379900
6762823839,42537,3,1.75,1160,22470,1,0,0,4,7,1160,0,1976,3,72,375000
6762824848,42537,3,2,1380,3600,3,0,0,3,8,1380,0,2015,3,77,350000
6762824849,42537,2,2.5,1260,1347,3,0,0,3,8,1260,0,2005,3,68,350000
6762825143,42537,4,2.75,2250,7412,1,0,0,4,8,1480,770,1975,1,54,345000
6762825144,42537,3,2.5,1680,2229,2,0,0,3,7,1680,0,2007,1,72,345000
6762825249,42537,3,2.5,1270,2509,2,0,0,3,8,1270,0,2004,3,71,343000
6762825275,42537,2,1,740,9134,1,0,0,3,6,740,0,1948,3,63,342000
6762825720,42537,3,2.5,1530,9406,1,0,0,3,7,1270,260,1993,2,60,332000
6762825761,42537,3,2.5,3040,4548,2,0,0,3,7,3040,0,2003,1,67,330000
6762826007,42537,4,2.5,2610,7091,2,0,0,3,9,2610,0,1987,3,50,325000
6762826253,42537,3,1,860,5060,1.5,0,0,3,7,860,0,1927,2,69,320000
6762826686,42537,4,2,1870,6000,1.5,0,0,3,7,1870,0,1956,3,64,310000
6762826896,42537,3,2.25,2110,7665,1,0,0,4,7,1360,750,1973,2,74,305000
6762827421,42537,4,2.5,1660,9760,2,0,0,3,7,1660,0,1994,1,51,294999
6762827720,42537,3,2.5,1413,3600,2,0,0,3,8,1413,0,2011,3,76,286800
6762827930,42537,4,2.25,1930,7207,1,0,0,4,7,1360,570,1988,2,66,280000
6762828332,42537,3,2,1380,7476,1,0,0,3,7,1380,0,1989,3,56,272000
6762828492,42537,2,1.5,1480,7276,1,0,0,4,6,940,540,1978,1,61,269500
6762828799,42537,3,1.75,1440,12888,1,0,2,3,7,1090,350,1958,3,50,260000
6762828800,42537,3,1.5,1270,20700,1,0,0,2,7,1150,120,1948,2,63,260000
6762828910,42537,3,2,1870,5909,1,0,0,3,7,1270,600,1986,1,79,259000
6762829013,42537,3,1.75,1700,7532,1,0,0,3,7,1700,0,1987,2,77,255000
6762829124,42537,3,1.5,880,6600,1,0,0,5,6,880,0,1945,3,63,253000
6762829207,42537,2,1.5,1088,1360,2,0,0,3,7,1088,0,1983,2,53,250000
6762829208,42537,4,2.5,1800,8100,2,0,0,3,7,1800,0,1998,1,67,250000
6762829209,42537,3,1.75,1160,6134,1,0,0,3,7,1160,0,1998,1,54,250000
6762829413,42537,3,1.75,1370,8719,1,0,0,3,7,1370,0,1982,3,50,247200
6762829587,42537,3,1.75,1280,7524,1.5,0,0,4,7,1280,0,1988,1,64,242000
6762829701,42537,3,1,1140,8366,1,0,0,5,6,1140,0,1943,1,52,239950
6762829801,42537,3,1.75,1190,7280,1,0,0,4,7,1190,0,1968,3,72,235000
6762830031,42537,3,2,1410,7466,1,0,0,3,7,1410,0,1983,3,50,229950
6762830543,42537,1,1,930,7129,1,0,0,3,6,930,0,1948,1,66,210000
6762830667,42537,3,1,1320,7000,1,0,0,4,7,1320,0,1967,3,57,206000
6762830725,42537,4,1.75,1740,9344,1,0,0,3,7,1180,560,1978,2,72,204950
6762830880,42537,3,1.5,1430,7347,1,0,0,3,7,820,610,1980,2,55,198000
6762831037,42537,3,1.5,1180,7000,1,0,0,4,7,1180,0,1977,3,61,187500
6762831244,42537,4,1,1920,13787,1,0,0,4,7,1220,700,1966,2,73,170000
6762831474,42537,4,0.75,1440,13300,1,0,0,3,6,1440,0,1948,2,77,142500
6762810029,42538,4,3,6430,27517,2,0,0,3,12,6430,0,2001,1,71,4490000
6762810065,42538,4,4.25,4850,12445,2,1,4,5,10,3850,1000,1989,3,70,3000000
6762810450,42538,6,5,6050,230652,2,0,3,3,11,6050,0,2001,1,50,1600000
6762810641,42538,3,2,2020,5500,1.5,0,3,3,10,1790,230,1937,1,56,1400000
6762810642,42538,4,2.75,3870,10046,2,0,0,3,11,3870,0,2005,3,65,1400000
6762810684,42538,4,3.25,4290,12103,1,0,3,3,11,2690,1600,1997,3,58,1380000
6762811088,42538,4,3.5,4680,9700,2,0,0,3,10,3360,1320,2005,1,64,1160000
6762811624,42538,4,2.5,4270,43386,1,0,0,3,10,2680,1590,1991,2,77,975000
6762811992,42538,4,2.5,3640,10576,2,0,0,3,11,3640,0,1999,2,55,913000
6762812060,42538,6,3,3020,13783,2,0,0,3,8,3020,0,1952,1,80,900000
6762812416,42538,4,2.25,2190,4080,2,0,0,3,8,1800,390,1918,2,59,855000
6762812459,42538,5,3.5,3450,28324,1,0,0,5,8,2350,1100,1972,2,74,850000
6762812714,42538,4,3.5,3810,9792,2,0,0,3,9,3810,0,1938,1,56,825000
6762812777,42538,4,2.5,3170,8523,2,0,0,3,9,3170,0,2008,2,50,820000
6762813365,42538,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,3,69,770000
6762813366,42538,4,2.5,3210,14910,2,0,0,3,10,3210,0,1995,3,68,770000
6762813450,42538,4,2.5,2790,7938,2,0,0,3,9,2790,0,1997,3,63,764000
6762813810,42538,3,2.5,2420,43177,2,0,4,4,8,1690,730,1989,1,54,739888
6762814218,42538,4,1.75,1980,10800,1,0,0,5,6,990,990,1948,2,73,711000
6762814546,42538,3,3.25,1540,1428,3,0,0,3,9,1540,0,2013,1,67,690000
6762814604,42538,3,3,3450,16200,2,0,0,3,10,3450,0,1983,3,53,688000
6762815237,42538,5,1.75,1260,4500,1.5,0,0,3,7,1260,0,1926,2,67,650000
6762815238,42538,3,1.75,2920,9370,1,0,0,4,8,1620,1300,1981,2,80,650000
6762815239,42538,3,1.5,1320,8114,1,0,0,3,8,1320,0,1951,3,53,650000
6762815385,42538,5,2.75,2870,4461,1,0,0,3,7,1650,1220,1976,2,72,646000
6762815660,42538,4,2.5,2807,9430,2,0,0,3,8,2807,0,1996,1,65,630000
6762815890,42538,4,2.5,1910,7683,2,0,0,3,8,1910,0,1987,2,75,620000
6762815994,42538,5,2.25,2480,12070,2,0,0,3,9,2480,0,1978,2,63,615000
6762816789,42538,4,2.5,3250,5000,2,0,0,3,8,3250,0,2008,2,67,580000
6762817010,42538,5,3.25,3160,10000,2,0,0,4,8,3160,0,1980,3,68,574950
6762817058,42538,4,2.5,2290,6738,2,0,0,3,8,2290,0,1996,3,51,570000
6762817145,42538,5,3.5,3260,58806,2,0,0,4,8,3260,0,1969,2,51,568450
6762817258,42538,2,2,1690,4500,1,0,0,3,8,1690,0,2004,1,57,564000
6762817290,42538,5,3,2795,15101,2,0,0,3,8,2795,0,1996,1,69,562000
6762817403,42538,2,1,1240,6400,1,0,1,4,7,1060,180,1938,2,50,559000
6762817456,42538,3,1.75,2040,6000,1,0,0,5,7,1120,920,1958,1,50,555000
6762817509,42538,5,2.25,1870,11411,1,0,0,4,8,1170,700,1961,2,69,554000
6762817816,42538,3,2.5,1560,9361,1.5,0,0,4,7,1360,200,1936,1,57,545500
6762817950,42538,4,2.5,2050,34222,2,0,0,4,8,2050,0,1989,3,77,540000
6762817951,42538,3,1.75,1970,8200,1,0,0,5,8,1420,550,1963,3,57,540000
6762818084,42538,3,1.75,1930,6360,1,0,0,3,9,1930,0,2013,1,71,536751
6762818121,42538,3,2,2120,4080,2,0,0,3,7,2120,0,2003,3,78,535000
6762818122,42538,4,2.5,2610,4595,2,0,0,3,8,2610,0,2008,2,55,535000
6762818714,42538,4,2.5,2920,7700,2,0,0,3,9,2920,0,2003,3,71,515500
6762818727,42538,3,3.5,1360,1419,2,0,0,3,8,1040,320,2007,1,61,515000
6762818955,42538,5,3.25,3850,16249,2,0,2,3,9,3030,820,2002,1,52,507000
6762818956,42538,4,1.75,1770,9375,1,0,0,4,7,1170,600,1968,2,53,507000
6762819630,42538,2,2.5,1430,923,3,0,0,3,8,1410,20,2008,2,65,485000
6762819734,42538,3,3.25,1380,1120,3,0,0,3,8,1380,0,2008,2,69,482000
6762819942,42538,3,1.75,1700,8432,1,0,0,3,8,1230,470,1977,2,58,475000
6762820192,42538,5,2.5,2240,7543,1,0,0,3,7,1140,1100,1966,2,58,469000
6762820280,42538,3,1.75,1510,4800,1,0,2,3,7,860,650,1925,2,64,465000
6762820418,42538,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,1,51,461000
6762820616,42538,3,1.75,1180,14292,1,0,0,3,7,1180,0,1981,3,56,455000
6762820782,42538,3,1.75,1180,4080,1,0,0,4,6,760,420,1928,2,51,450000
6762821223,42538,4,2.5,2410,4780,2,0,0,3,7,2410,0,2000,1,74,440000
6762821998,42538,3,2,1670,7700,1,0,0,3,7,1170,500,1972,2,60,424000
6762822282,42538,3,1.75,1270,4800,1,0,0,3,7,1270,0,1952,1,69,415000
6762822283,42538,4,2.5,2020,5501,2,0,0,3,7,2020,0,2010,2,61,415000
6762822461,42538,4,2,1970,10500,1,0,0,3,8,1820,150,1961,2,57,410000
6762822584,42538,4,1.5,2310,68824,2,0,0,4,7,2310,0,1968,3,52,407450
6762822716,42538,5,2.5,3600,17300,1,0,0,4,8,2410,1190,1968,2,78,403500
6762822814,42538,3,1.75,1050,6150,1.5,0,0,4,6,950,100,1928,2,54,400000
6762823548,42538,3,3.25,1689,1388,3,0,0,3,8,1689,0,2008,3,54,384400
6762823840,42538,2,1,940,9839,1,0,0,3,6,940,0,1910,3,61,375000
6762823841,42538,3,2.5,1950,6871,2,0,0,3,8,1950,0,1997,2,59,375000
6762824253,42538,3,2.5,2640,6715,2,0,0,3,8,1680,960,1991,3,53,365000
6762825243,42538,2,1,1100,4200,1,0,0,3,7,1100,0,1954,3,53,343566
6762825762,42538,3,2.5,1600,26977,2,0,0,3,8,1600,0,2005,2,52,330000
6762826008,42538,3,2.75,2200,7000,1,0,0,4,7,1280,920,1977,1,75,325000
6762826201,42538,4,2.5,1820,6753,2,0,0,3,7,1820,0,1994,3,70,322500
6762826475,42538,3,2.5,1730,6368,2,0,0,3,7,1730,0,1993,1,68,315000
6762826687,42538,4,2.5,2660,12672,1,0,0,4,8,1740,920,1960,3,68,310000
6762826795,42538,3,2.25,1490,1294,2,0,0,3,7,1220,270,2010,1,52,309000
6762827077,42538,3,2.5,1700,3575,2,0,0,3,7,1700,0,2000,3,70,300000
6762827078,42538,3,1,910,7700,1,0,0,4,7,910,0,1971,3,65,300000
6762827253,42538,5,2.5,2220,9360,1,0,0,4,7,1110,1110,1968,2,64,299000
6762827358,42538,3,2,1380,8682,1,0,0,4,7,1380,0,1966,1,52,295000
6762827684,42538,4,2.5,2570,9000,1,0,0,4,8,1590,980,1979,1,72,287500
6762827829,42538,3,1,990,10723,1,0,0,5,7,990,0,1960,2,50,284950
6762828026,42538,5,1.75,2150,7171,1,0,0,4,7,1460,690,1970,3,79,279950
